N dataset population_size generations cross_validation cv_folds fitness accuracy time
93 iris.scale 19 3 False 10 0.9666667 100.0 6.249908
94 iris.scale 19 4 False 10 0.9666667 76.66666666666667 17.224886
95 iris.scale 19 5 False 10 0.9666667 83.33333333333334 13.063963
96 iris.scale 20 1 False 10 0.9666667 100.0 10.892050
97 iris.scale 20 2 False 10 0.9666667 100.0 32.907130
98 iris.scale 20 3 False 10 0.9666667 100.0 22.152434
99 iris.scale 20 4 False 10 0.9666667 100.0 29.822987
100 iris.scale 20 5 False 10 0.9666667 100.0 28.886265
101 dna.scale 1 1 False 10 0.90893763 92.5 2.855452
102 dna.scale 1 2 False 10 0.90893763 92.5 3.927567
103 dna.scale 1 3 False 10 0.94603705 96.16666666666667 11.034594
104 dna.scale 1 4 False 10 0.8549747 88.66666666666667 31.471305
105 dna.scale 1 5 False 10 0.91652614 95.0 36.139277
106 dna.scale 2 1 False 10 0.88701516 96.0 316.239766
107 dna.scale 2 2 False 10 0.7925801 82.5 163.774385
108 dna.scale 2 3 False 10 0.90893763 92.5 281.563852
109 dna.scale 2 4 False 10 0.9418213 96.0 455.411647
110 dna.scale 2 5 False 10 0.93086004 94.66666666666667 81.224678
111 dna.scale 3 1 False 10 0.93338954 22.166666666666668 336.669768
112 dna.scale 3 2 False 10 
