N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
66 vowel.scale 19 3 False 10 0.9242424 85.60606060606061 0.9469697 93.18181818181817 0.939394 91.66666666666666 0.9242424 72.72727272727273 0.9015151 19.696969696969695 0.927273 72.575758 60.117414
67 vowel.scale 19 4 False 10 0.9318181 93.18181818181817 0.96212125 95.45454545454545 0.9469697 92.42424242424242 0.9090909 81.81818181818183 0.9015151 62.121212121212125 0.930303 85.000000 56.528048
68 vowel.scale 19 5 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.9469697 90.9090909090909 0.9242424 6.8181818181818175 0.88636357 93.93939393939394 0.921212 74.848485 78.855332
69 vowel.scale 19 6 False 10 0.9166666 87.87878787878788 0.969697 95.45454545454545 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.8939394 34.84848484848485 0.928788 78.636364 66.535348
70 vowel.scale 19 7 False 10 0.9166666 89.39393939393939 0.9469697 84.0909090909091 0.9242424 88.63636363636364 0.9318181 86.36363636363636 0.9015151 68.93939393939394 0.924242 83.484848 101.805646
71 vowel.scale 21 1 False 10 0.9318181 92.42424242424242 0.98484844 97.72727272727273 0.9090909 86.36363636363636 0.8484848 80.3030303030303 0.9015151 53.03030303030303 0.915151 81.969697 12.336517
72 vowel.scale 21 2 False 10 0.9166666 91.66666666666666 0.969697 92.42424242424242 0.9318181 89.39393939393939 0.9015151 85.60606060606061 0.9166666 68.93939393939394 0.927273 85.606061 39.303768
73 vowel.scale 21 3 False 10 0.9166666 53.78787878787878 0.9545454 94.6969696969697 0.9166666 87.87878787878788 0.9469697 87.87878787878788 0.9015151 23.484848484848484 0.927273 69.545455 50.517780
74 vowel.scale 21 4 False 10 0.939394 91.66666666666666 1.0 96.96969696969697 0.9242424 78.03030303030303 0.9242424 28.78787878787879 0.88636357 93.93939393939394 0.934848 77.878788 38.974391
75 vowel.scale 21 5 False 10 0.8636364 84.0909090909091 0.969697 95.45454545454545 0.939394 91.66666666666666 0.9469697 87.87878787878788 0.9015151 50.0 0.924242 81.818182 116.542126
76 vowel.scale 21 6 False 10 0.9166666 77.27272727272727 0.9469697 23.484848484848484 0.9469697 93.18181818181817 0.9318181 32.57575757575758 0.8939394 7.575757575757576 0.927273 46.818182 96.366836
77 vowel.scale 21 7 False 10 0.9242424 90.15151515151516 0.969697 95.45454545454545 0.939394 92.42424242424242 
